questions,class
What are the three animals in Sheila Burnford 's The Incredible Journey ?,ENTITY
Name one of the Seven Wonders of the Ancient World .,ENTITY
When were fish first believed to be found on earth ?,NUMERIC
How many elevators do you ride to reach the top floor of the Empire State Building ?,NUMERIC
What country was Sir Edmund Hillary born in ?,LOCATION
What 's an infant seal called ?,ENTITY
What city was John F. Kennedy nominated for president in ?,LOCATION
How long does a dog sleep ?,NUMERIC
What 1963 Joseph L. Mankiewicz film cost $28 million ?,ENTITY
What can you be fined for having a dog on a beach ?,NUMERIC
Where did the Battle of the Bulge take place ?,LOCATION
How much will the California be in the year 2000 ?,NUMERIC
What state full of milk and honey was the destination in The Grapes of Wrath ?,LOCATION
What is the tallest building in Japan ?,LOCATION
Where is Sinn Fein 's headquarters ?,LOCATION
Name Li 'l Abner 's favorite Indian drink .,ENTITY
What are some important events of the 1830 's ?,ENTITY
The Iraqis launched their attack on Kuwait on what day ?,NUMERIC
What letter adorns the flag of Rwanda ?,ENTITY
"What did 8 , CD NNS VBP TO VB NNP POS NN .",ENTITY
What country 's northernmost city is Darwin ?,LOCATION
"What sound does Olympia , Washington , overlook ?",LOCATION
What TV show chronicled the lives of Katy Holstrum and Congressman Glen Morley ?,ENTITY
What Kentucky city calls itself The Horse Center of America ?,LOCATION
How many penny-farthings are there on a Trivial Pursuit game board ?,NUMERIC
What 's the most abundant element in the sun ?,ENTITY
"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?",LOCATION
What U.S. state is Dixville Notch in ?,LOCATION
"Where was the Cisalpine Republic , 1797-185 , ?",LOCATION
What is the largest shopping mall in the world ?,LOCATION
What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board ?,ENTITY
What kind of animal was Winnie the Pooh ?,ENTITY
What 's the international radio code word for the letter B ?,ENTITY
Aspartame is also known as what ?,ENTITY
Where is the location of the Orange Bowl ?,LOCATION
When is President Nixon 's birthday ?,NUMERIC
What are the seven seas ?,LOCATION
What does IBM stand for ?,ABBREVIATION
How many people in the USA say their number one source of information is the newspaper ?,NUMERIC
Which country is known as `` Big Bear '' ?,LOCATION
"What `` melts in your mouth , not in your hands '' .",ENTITY
How many times a day should you take a prescription marked `` q.i.d . '' ?,NUMERIC
What 's the home of the Rockettes ?,LOCATION
"Where can I find all the information I need to know about the English Civil War , 1642-1649 , ?",LOCATION
What sport is played on the largest field ?,ENTITY
What is after death ?,ENTITY
How much pizza do Americans eat in a day ?,NUMERIC
What is the website for the USA journal ?,LOCATION
What kind of patent did Ermal Fraze get in 1963 ?,ENTITY
Which gender has bigger thighs ?,ENTITY
What U.S. state has the second-longest coastline ?,LOCATION
What state 's home to the Buffalo Bill Historical Center ?,LOCATION
How fast do cheetahs run ?,NUMERIC
What is Ray Bradbury 's illustrated man illustrated with ?,ENTITY
How fast is a 45Mhz processor ?,NUMERIC
"What kind of puzzle first appeared in the U.S. in the New York World on December 21 , 1913 ?",ENTITY
What are the odds of giving birth to twins ?,NUMERIC
What is the largest natural lake in Pennsylvania ?,LOCATION
How far is London UK from California ?,NUMERIC
Name the two mystical ravens Odin has at his command .,ENTITY
What was the species of Winnie the Pooh ?,ENTITY
How many years old is Benny Carter ?,NUMERIC
What Hermann Hesse book gave its name to a rock group ?,ENTITY
Where does the Santa Fe Trail begin and end ?,LOCATION
What book is the follow-up to Future Shock ?,ENTITY
What African animals are known as The Big Five ?,ENTITY
What is the alphabet for Latin ?,ENTITY
What is the fear of frogs ?,ENTITY
Which city in Canada is the least-populated ?,LOCATION
How old is Stevie Wonder ?,NUMERIC
What does a dipsomaniac crave ?,ENTITY
What is Nero Wolfe 's favorite drink during office hours ?,ENTITY
What is the most efficient way to start a barbeque ?,ENTITY
Where is the Isle of Man ?,LOCATION
What book did Aaron Hass write ?,ENTITY
What was the death toll at the eruption of Mount Pinatubo ?,NUMERIC
When will the millennium officially begin ?,NUMERIC
What do we call the imaginary line along the top of the Rocky Mountains ?,LOCATION
What country 's capital is Lagos ?,LOCATION
Where does Ray Bradbury 's Chronicles take place ?,LOCATION
What was the distinguishing mark on the `` Little Rascals '' dog ?,ENTITY
"What is the latitude and longitude of El Paso , Texas ?",NUMERIC
Where can I get information about cystic fibrosis ?,LOCATION
Where did Honecker rule ?,LOCATION
What does a philatelist collect ?,ENTITY
What is the life span of the average monkey ?,NUMERIC
How many member states are in the UN ?,NUMERIC
Which operating system runs on IBM-compatible machines ?,ENTITY
What are the dimensions of an ice hockey goal ?,NUMERIC
When was CNN 's first broadcast ?,NUMERIC
What are the signs of a country going into a recession ?,ENTITY
What African country is governed from Ouagadougou ?,LOCATION
What is the English translation for the word `` caliente '' ?,ENTITY
What handicraft requires you to interlace your warp and weft ?,ENTITY
What French seaport claims to be The Home of Wines ?,LOCATION
How long does it take sunlight to reach Earth ?,NUMERIC
How many milliseconds in a second ?,NUMERIC
When were camcorders introduced in Malaysia ?,NUMERIC
What is the chance of conceiving quadruplets ?,NUMERIC
What countries have the largest armed forces in the world ?,LOCATION
"What molecules include fluorine , sodium and magnesium ?",ENTITY
What was the name of the ball game played by the mayans ?,ENTITY
What was the sequel to The Moon 's Balloon ?,ENTITY
What is the exchange rate for Australian to American money ?,NUMERIC
How many states did Richard Nixon carry in 1972 ?,NUMERIC
What basketball maneuver did Bert Loomis invent ?,ENTITY
What is a good book to read for people who hate to read ?,ENTITY
How many shillings more than 2 were there in a guinea ?,NUMERIC
What does a tarantula eat ?,ENTITY
What are the three secondary colors ?,ENTITY
What were the trials called which followed World War II ?,ENTITY
What famous events have happened on March 27 ?,ENTITY
What brand number graces the black label of a bottle of Jack Daniel 's ?,NUMERIC
What do I call the sons and daughters of my first cousins ?,ENTITY
What city is terrorized by Dracula in The Night Stalker ?,LOCATION
What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?,ENTITY
What do camels store in their humps ?,ENTITY
What is the name of the second space shuttle ?,ENTITY
What is the best hospital for orthopedics in the country ?,LOCATION
What was another name for East Germany ?,ENTITY
What 's the second-biggest-selling magazine in America ?,ENTITY
What kind of a sports team is the Wisconsin Badgers ?,ENTITY
In what year did China and the Republic of Korea establish diplomatic relations ?,NUMERIC
How tall is the giraffe ?,NUMERIC
What animal was the heat-seeking missile called the Sidewinder named for ?,ENTITY
How long did it take Stanley to find Livingstone ?,NUMERIC
How much of the nation 's children between the ages of two and eleven watch ` The Simpsons ' ?,NUMERIC
What lake is Sheboygan on ?,LOCATION
What is a fear of color ?,ENTITY
What Nantucket shipwreck killed more divers exploring it than the 52 people it sank with ?,ENTITY
What are the two largest birds on earth ?,ENTITY
Name the four stories contained in Edith Wharton 's `` Old New York . '',ENTITY
What is the largest lake in North America ?,LOCATION
How many people died because of a smoking problem in 1997 ?,NUMERIC
What is chronic constipation a symptom of ?,ENTITY
What did the Yalta Conference lead to ?,ENTITY
What dog was dubbed The Mortgage Lifter ?,ENTITY
What should the oven be set at for baking Peachy Oat Muffins ?,ENTITY
How many times in his 16-year National Basketball Associaton career was John Havlicek a member of the all-star team ?,NUMERIC
What city or state do the most gay men live in ?,LOCATION
Shea and Gould had an office in Los Angeles for how long before closing it ?,NUMERIC
"What word occurs 46 , 227 times in the Bible ?",ENTITY
"What year did Degas create the bronze sculpture , `` Fourth Position Front ? ''",NUMERIC
How many URL extensions are there ? and what are they ?,NUMERIC
How long after intercourse does it take to find out if you are pregnant ?,NUMERIC
What does U.S.S.R. stand for ?,ABBREVIATION
What is a fear of gravity ?,ENTITY
Where are all European and American eels born ?,LOCATION
What was `` America 's recessed-filter cigarette '' ?,ENTITY
What kind of dog is Scooby Doo ?,ENTITY
Which sex is twice as likely to contract leprosy ?,ENTITY
What was the first town to be chartered in Vermont ?,LOCATION
What state has the longest Great Lakes shoreline ?,LOCATION
What U.S. state ends with a G ?,LOCATION
How many varieties of twins are there ?,NUMERIC
What are the largest libraries in the US ?,LOCATION
How many people live in the Falklands ?,NUMERIC
What document did President Andrew Johnson want a copy of placed under his head upon his burial ?,ENTITY
What wheel did Blaise Pascal invent in a search for perpetual motion ?,ENTITY
How much money was the minimum wage in 1991 ?,NUMERIC
In what year was the first patent for the pull-tab opener on cans obtained ?,NUMERIC
What country boasts the most dams ?,LOCATION
What is the regular price ?,NUMERIC
What Metropolis landmark was first introduced in the Superman cartoons of the 1940 's ?,LOCATION
Where can one find Mozambique ?,LOCATION
What Mary Tyler Moore Show regular came into the world as Tadeus Wladyslaw Konopka ?,ENTITY
In what city is the US Declaration of Independence located ?,LOCATION
What did Aaron Hass write ?,ENTITY
"What overalls are named for Dungri , a suburb of Bombay ?",ENTITY
What nationality was Jackson Pollock ?,LOCATION
How much of the earth 's surface is permanently frozen ?,NUMERIC
What is the connection between New Krypton and Daxam ?,ENTITY
When was Queen Victoria born ?,NUMERIC
How many people were executed for Abraham Lincoln 's assassination ?,NUMERIC
What is worth seeing in Reims ?,LOCATION
What type of performer is Ileana Cotrubas ?,ENTITY
When was Yemen reunified ?,NUMERIC
What line of candy products included Super Skrunch and Peanut Butter Oompas ?,ENTITY
What does NECROSIS mean ?,ABBREVIATION
"What feud ended with a marriage in Kentucky on March 21 , 1891 ?",ENTITY
What color is the stripe along each side of a Coho salmon ?,ENTITY
What is the federal minimum wage ?,NUMERIC
Mississippi is nicknamed what ?,ENTITY
What are the unemployment statistics for the years 1965 and 1990 ?,NUMERIC
Where is Santa Lucia ?,LOCATION
What war saw battles at Parrot 's Beak and Black Virgin ?,ENTITY
What is the horsepower of the shuttle boosters ?,NUMERIC
What year did Apartheid start ?,NUMERIC
What city is found in the city of OZ ?,LOCATION
What did a 16th-century Aztec athlete get for putting a rubber ball through a ring ?,ENTITY
"What populous state covers 49 , 576 square miles ?",LOCATION
In what state was there an 11 million gallon oil spill ?,LOCATION
"When did Aldous Huxley write , `` Brave New World '' ?",NUMERIC
What country did the ancient Romans refer to as Hibernia ?,LOCATION
What do chefs call The Master Spice ?,ENTITY
What is the abbreviation of General Motors ?,ABBREVIATION
How long was the longest hiccup attack ?,NUMERIC
What kind of weapons were used in Medieval warfare ?,ENTITY
How many people live in Tokyo ?,NUMERIC
What are birds descendents of ?,ENTITY
Which Kevin Costner movie involves the Sioux Indians ?,ENTITY
What is a fear of fur ?,ENTITY
What part of their attire were `` pothooks '' to cowboys of the Old West ?,ENTITY
When did humans first begin to write history seriously ?,NUMERIC
A corgi is a kind of what ?,ENTITY
What city in the U.S. experienced the most growth recently ?,LOCATION
What Tokyo street glitters with famed department stores and nightclubs ?,LOCATION
What was the average life expectancy during the Stone Age ?,NUMERIC
How many U.S. presidents were assassinated during Queen Victoria 's reign ?,NUMERIC
When was the first flush toilet invented ?,NUMERIC
How many disks does each player have in a four-handed game of Crokinole ?,NUMERIC
How old is the sun ?,NUMERIC
What percentage of children between the ages of two and eleven watch ` The Simpsons ' ?,NUMERIC
How many years ago did Led Zeppelin release its last album ?,NUMERIC
What is the term for a group of geese ?,ENTITY
How many people was Randy Craft convicted of killing ?,NUMERIC
